,Additional_charges
733,14051.31743
6405,14700.35
5801,23917.47
4199,7054.124793
3007,14221.64816
7859,11464.26
5895,9906.633
3778,22401.37974
8403,26432.22
4909,14211.53767
8402,6234.271
633,28726.75105
3315,11376.50971
3044,28809.48067
21,9128.650382
2819,26856.37108
6271,10029.64
9129,12196.42
6109,10692.14
3094,11995.00516
5491,13193.24
7122,6517.056
2776,6835.188587
1870,14532.98684
9076,17951.82
3772,10911.50611
5961,14693.57
175,10005.66235
2625,14619.92253
5500,22873.98
5167,6487.571
3077,4559.298046
5981,15219.65
3107,7610.338946
1276,13347.08474
1298,16057.49513
3961,26483.72298
8171,3797.559
3245,6766.51636
2103,17862.86764
4847,12991.80125
1326,9421.552722
5687,10189.17
4933,8741.509527
8207,13269.4
437,8211.74626
8885,24217.9
9459,10227.1
8384,4140.301
5877,5000.124
9681,10849.72
4422,3708.860203
9344,14251.35
8286,14266.44
3050,3678.511769
5589,13944.95
2802,12661.22985
3064,15694.7393
7612,5625.723
2652,11775.51117
212,8759.36595
6769,4426.977
1069,4101.760226
1736,14430.29975
1124,3585.74343
4370,10435.71569
4747,4128.991679
9315,28142.4
3462,20273.58654
7633,12058.21
3731,15308.09933
3733,10434.20777
8227,25106.17
8554,6743.791
8710,28112.38
8586,6999.048
6459,14609.91
4643,7737.12776
262,15076.39968
9095,14809.75
3905,8147.28544
7035,22939.57
8663,19178.36
2790,3958.364482
8482,10838.87
3318,7895.694839
3206,7492.054709
3478,10651.58285
2468,11652.19836
6052,6278.432
7463,13189.78
8846,6913.947
4616,13422.0213
9829,20128.77
3623,9381.309114
7125,4382.414
6991,6125.12
362,22574.50706
2793,13562.55553
7680,14954.36
7997,8191.742
9032,19976.96
5577,5850.459
7951,5051.648
8931,11495.49
1759,3585.74343
5538,3519.152
669,9406.305941
5148,14467.79
2830,14116.11805
9036,11980.5
85,5308.867753
5476,26031.58
2494,11293.63623
4611,13374.49032
9584,3241.34
8141,14644.12
7728,25378.2
4757,12486.82338
2603,13341.20139
1982,6956.37641
1776,15383.86396
6959,14033.58
1117,6811.13531
3547,15172.16193
4289,14863.82036
3705,13775.62619
6766,10149.12
4193,20553.95403
9606,9897.116
3523,4392.372713
1043,13743.1835
9322,6416.228
3703,14905.65037
6752,15021.49
3875,7155.92756
5915,14338.0
7444,8839.766
1016,5714.150419
529,11303.68233
5338,18186.83
8434,13942.03
232,14098.53139
4671,12512.81261
2816,4228.06783
6760,7027.037
2685,24993.42529
9297,22391.04
8872,14994.44
3397,4491.37556
6509,12783.82
9816,13730.61
2710,21911.0693
9421,9221.51
5265,17936.88
7419,26783.27
4268,6954.00758
6839,7486.77
5092,28147.01
3153,7087.852682
8398,11683.91
3912,6848.802363
7638,6022.72
7091,5263.505
747,11553.16469
7787,12300.76
7731,16967.32
623,14212.09567
9481,10634.3
6578,4884.387
7048,5509.438
3215,28500.22995
5786,12538.32
6333,16404.33
5692,12373.66
7455,8342.471
9954,15997.12
915,19624.6821
2614,4136.158957
9718,4428.204
1318,29075.71907
3848,29156.06507
7069,6015.134
8003,10407.06
2562,11139.84451
8243,5780.788
5217,13833.35
8721,24434.12
977,12192.94257
3760,10644.97713
1823,24558.72434
6024,13443.57
1999,4798.71239
8489,24262.69
7079,9444.958
4603,21079.20797
7503,24282.75
703,26124.25158
6856,22678.89
1107,13258.91539
6322,10997.68
4778,13757.70949
7707,5895.719
360,12595.25879
7992,29424.21
3811,5454.871067
3121,27347.99524
3047,15305.36215
9141,10206.61
2496,20504.76612
6719,5912.619
9282,10084.33
8372,22518.33
2877,18349.46688
4799,13266.31657
3320,9299.204133
1540,8960.871036
2702,3999.23773
6689,15838.56
7812,5912.174
7023,17438.99
2529,28241.30589
680,11611.07654
6450,14307.27
8052,13787.98
1444,5037.762709
9855,14668.35
9040,28899.05
128,3780.811067
3465,11537.09594
4003,11430.5629
3190,11328.14469
5091,4766.245
3841,13220.56695
1608,14964.69491
9364,9381.318
5842,6192.441
1595,5615.239126
376,7881.44399
2062,14857.47613
8565,9848.342
3625,18925.58511
1131,22822.74356
8462,12773.89
5785,5415.298
9765,5052.554
6169,9671.035
1113,9828.337545
6494,8746.649
2671,12404.53738
2221,8913.847313
2167,28223.54433
1862,11673.84296
1699,8413.222527
2015,10053.88504
9682,24341.76
6505,4600.464
9396,4706.755
9927,8494.158
173,22867.61568
4986,13883.58609
9931,7661.776
3774,4884.487216
2163,20738.59013
8658,10836.06
6207,8125.261
4795,9427.588077
7290,6733.176
9284,5174.54
9868,15168.23
4433,5868.90615
7537,12879.93
9479,21515.82
8063,9076.221
9751,19464.25
5738,5642.958
5072,11434.68
4738,13986.32163
1694,4276.226126
5183,7521.687
4623,7294.53663
8395,11803.11
6743,10087.95
1969,11222.10859
1555,13272.49151
1450,22218.78951
9902,17102.56
6947,10098.9
9204,3910.629
4945,12829.57761
5435,28497.64
7258,17926.47
5814,13627.4
301,22886.81815
3641,12829.84864
2621,14190.62152
1244,14935.77122
4307,8765.440424
5385,11515.79
10,18518.04317
7632,12655.51
2349,8021.371133
8574,12506.78
7547,14191.65
7826,9688.096
6111,9397.448
8386,6513.573
7777,8497.438
2128,11410.66279
4497,22702.15673
3177,13222.00744
2453,20860.48324
4098,9275.17256
8214,13566.0
3349,23199.5811
2620,6463.310987
2400,18538.75983
1151,5194.075999
4002,5906.286444
1868,4744.83845
3081,6254.880769
2664,10299.30056
9013,9329.47
6874,8731.128
7513,7269.926
7319,11256.17
9429,7084.4
7732,8792.523
2602,14301.40935
3059,14437.00923
7070,10658.08
3131,11623.60905
4014,21535.06915
4583,7381.508846
5765,14289.65
897,23907.8666
4391,6548.154094
7308,6333.018
9247,10767.94
4159,22492.57441
4197,9527.689276
9418,7238.323
1554,4627.525127
8420,14000.17
4884,12730.56586
8471,6143.276
6151,9660.429
4767,14464.78629
6557,6572.829
961,28187.4049
147,13417.33509
1976,8762.161787
6445,13494.54
2479,18549.13501
6232,12298.99
1029,26923.84434
2694,8695.14758
4576,18804.24116
7365,17867.45
4348,9681.145576
4932,21359.54218
1277,6743.339287
2251,7562.806603
5428,26686.76
11,21480.88613
6396,9550.161
6368,6306.418
6866,5264.391
9487,14736.43
7038,3862.784
1689,8884.877252
7854,17785.92
1359,24230.67976
4869,9655.355543
9407,6565.528
6824,25071.11
7698,10818.51
2982,10306.90816
356,14378.85017
4987,16595.54977
286,9789.798036
2985,6937.500897
4713,9780.428354
5088,4102.514
7141,16486.26
7974,9152.479
7198,14197.87
9478,26971.21
6805,9209.784
5758,4608.275
7445,5683.637
5057,4976.947
2101,21175.71961
1640,27600.42993
1668,27668.58637
9937,26182.95
6701,6422.177
7465,19585.19
7811,6165.109
3938,8273.380003
783,15124.13475
8041,11527.49
1690,10797.70866
4190,25843.20038
243,13848.79795
8958,11260.02
5246,11385.99
5615,4843.872
1381,23995.62298
4850,15832.81408
3262,5895.929386
9505,9739.262
7092,6825.625
8284,10295.14
4526,4108.3175
4619,5071.826019
1342,27059.6297
6091,6393.917
6614,28276.69
8144,15782.78
1214,14670.74995
2678,13904.5368
8720,7614.917
1082,13948.70866
3186,13685.69204
2502,22518.33416
8309,12045.04
6882,16445.02
6372,11134.39
7304,14927.03
6414,14748.06
8030,12554.29
1546,21430.2607
7927,8444.007
2107,7576.275636
9852,14033.46
7270,8915.64
3443,23226.17781
793,12827.64367
6669,4874.094
7383,12907.93
5045,8363.187
2308,9677.989319
3904,7358.051699
5584,15861.57
181,25648.43081
59,10521.78643
7434,7187.618
7534,14322.94
2524,14301.75404
3648,15400.06921
952,12014.25573
3282,20284.80862
5228,7791.572
4051,12469.3369
1346,28022.58115
7179,8902.293
1894,24468.92218
743,12740.75024
187,8818.32875
3223,11081.5538
3185,5932.848106
3130,11654.76425
7326,14836.76
537,13265.51101
7233,8044.55
9334,10144.1
4105,12745.48139
9642,5582.252
3614,21805.29521
8572,7085.663
7676,8596.623
2679,8341.542687
5162,5269.85
2950,4972.792346
1496,9430.53334
1475,4307.938745
1228,18487.2585
3238,11242.1349
752,13009.17487
8442,7404.484
9302,24586.23
6201,19792.53
1232,17461.47441
5288,10917.97
3102,14117.50505
8375,17196.15
8139,16473.57
2026,10754.58815
6214,12100.27
6197,25397.77
8947,27941.41
1101,8445.522041
2785,5403.369737
9267,24152.5
7809,6076.479
1265,20281.85981
3723,6315.62213
4296,7351.494425
3165,6851.272043
4265,3503.457427
4702,20087.99952
5049,11551.3
7330,8778.362
7273,10495.0
7084,12673.95
3428,22678.88821
3116,11142.72237
6725,10412.57
2557,7135.901253
809,5263.169873
2624,9619.57623
1166,12720.76036
7101,16247.78
235,3292.84109
5843,14457.46
4554,5953.738885
372,25835.76413
26,8485.173391
806,4422.770223
5835,23431.56
71,5685.001847
6006,15234.61
4464,10098.31192
6798,8160.752
9472,15110.12
1918,7251.712419
2675,8892.469833
5061,29427.64
2797,20968.52899
7046,13798.02
4490,16513.62389
1928,19942.01812
3406,9595.85196
2929,7626.60711
563,9090.077302
1356,8772.839843
3106,14445.28251
5994,3443.087
3917,3737.120063
2142,29487.93442
8204,19289.53
610,5472.218162
6338,9063.209
912,9476.013824
2357,14977.6646
7541,5041.041
3143,10373.79298
907,11563.2971
6031,9107.956
9796,22000.06
6302,26253.26
5471,6504.463
3835,13837.26236
7904,24232.71
2445,21184.02318
2600,11895.73319
888,10087.55355
9401,19186.23
2632,17585.49208
9506,14122.64
2236,6626.673836
2295,12000.91834
1307,4675.155652
5372,7043.621
5241,9438.278
7935,14450.82
8746,13218.0
586,25832.86524
7960,16664.91
1193,6996.274406
472,5885.113037
5423,20160.52
4130,7205.596653
6468,6575.173
5485,11368.65
3390,13354.67042
6564,7720.131
2316,3214.27887
6457,6278.158
9394,13012.45
9464,10429.1
4101,4096.191736
2013,7433.412844
3697,17371.67225
9832,16678.76
4009,26398.15834
7188,8546.967
9143,11359.45
9343,11895.97
1970,28167.04836
6380,20402.12
6731,20095.67
5176,4416.155
7072,4719.879
7713,16373.55
5477,20339.39
8109,10811.83
6754,22626.09
1062,18012.19485
1417,6702.05554
2407,12725.69958
7071,10347.52
9917,9206.082
2946,16515.65546
3677,5874.980624
1764,14024.37848
1798,9359.983376
2969,26123.49446
9411,18906.98
7018,7070.75
7394,22066.34
2100,28505.16096
1575,26702.44771
6909,14194.16
5671,11303.68
5335,9547.896
4459,10942.29079
3291,4017.162451
3624,22113.21536
160,12807.19414
3611,9010.81514
9058,7832.046
1517,12971.35562
3868,4634.852653
6924,11546.55
3506,12422.13147
2111,23422.14635
944,8834.949957
4761,6002.010033
8409,12769.65
8389,13097.43
9530,6220.853
6273,13275.5
2060,8010.33439
965,4308.496743
7124,12287.54
1605,3910.629413
4127,24775.09603
1930,9568.0749
1038,14064.63864
8742,14553.42
343,8734.406646
1722,6689.271589
7797,4867.336
6198,13894.39
2488,27792.27422
3040,6739.184446
5591,4392.364
8919,14656.66
3853,18466.85534
3735,12538.31781
1106,16523.95903
8366,8861.915
9332,6175.693
8540,13630.78
6086,15724.93
2626,29445.5417
3924,7279.10873
1105,20860.05595
3730,10847.3654
1892,8693.999103
8597,11034.1
7031,13826.46
6691,10952.69
7970,15102.41
6221,17192.71
6469,16655.49
4070,8012.144613
7224,16566.45
1609,29567.95362
1274,9616.297593
7705,8881.864
9291,9037.201
4479,5466.799829
8222,19771.98
6541,10359.25
3355,10017.19646
2066,4290.814227
3900,8166.612658
9625,10009.41
3028,13467.03573
3759,9464.59665
3930,5273.776036
6328,20384.55
419,5680.840933
2428,5226.58175
464,14792.67989
616,3941.078665
9338,8296.135
116,7196.822727
136,11431.44188
9720,20906.96
245,25853.26431
8215,7091.467
2957,9079.622123
2346,8299.900763
2729,10313.5336
2569,10583.33385
9951,21815.36
7442,5889.645
786,28276.6882
9074,14911.07
9566,5119.875
6285,12999.32
7568,8254.299
4955,8728.098477
9482,10237.75
5319,6685.494
6868,14512.03
4472,17409.5598
1780,14378.68161
9574,24012.19
1022,14382.22926
3352,8768.572033
1762,7751.647563
7300,6309.074
4608,15215.96919
5083,11392.76
4614,27929.07306
3542,14641.57104
8340,23948.26
8979,14546.09
9203,4417.354
7765,6829.327
7806,21493.06
9385,14953.26
9117,14643.56
8011,11495.34
9538,26854.25
2286,6658.386455
2225,18473.75964
1134,11066.46415
7360,10682.37
1903,12448.89127
2336,9558.160447
4229,7574.540301
2578,13941.22893
5110,13231.85
2490,16303.72011
4826,14154.09282
7123,29114.9
6844,7325.321
2918,19770.65674
4374,4268.8986
3916,28402.76926
2395,10583.06283
358,11247.71943
3632,9600.058543
7833,12130.1
4556,7340.613679
4425,6932.208239
9526,9429.196
7620,10679.49
6788,13660.81
7348,8438.491
4975,9869.080509
3605,6367.080982
4785,4710.674679
2006,5615.116746
6247,27123.37
5698,9353.604
504,13672.76703
6495,4949.335
79,6514.100048
3937,11606.45568
666,5126.64205
895,3835.22579
2061,8995.20537
3438,25030.50935
1735,24335.00502
9426,7402.322
6209,3716.739
9812,11303.7
4431,6554.498327
2869,7007.762846
5492,5926.233
5691,14385.53
4414,14741.79064
5880,12227.22
6817,21397.12
2935,17553.41515
3651,9024.784173
8620,13709.9
4818,9458.99513
7138,10419.05
9124,10024.57
4957,12498.63696
661,8116.187265
167,17285.22066
2203,13833.01271
481,6467.020682
4647,9519.0165
982,7866.568787
5488,18180.65
7347,27003.74
3483,11095.5908
7828,7453.46
3159,7793.404448
6687,8847.455
4038,5201.600527
7180,15583.57
3570,9826.70454
8561,5297.356
2399,10128.67336
1045,11838.2267
4403,7842.87091
4188,12268.82695
992,5132.506653
2355,5294.83075
2470,14704.14529
9414,20053.94
20,28788.08031
7147,5673.255
3219,11211.35023
4243,17691.93355
3382,12326.49882
1094,3583.663763
2743,19625.91444
2919,27772.28434
8262,13220.61
6913,10672.89
3516,7529.087978
1597,10326.87099
7794,13429.15
4390,8502.123787
3010,17203.66144
3555,14191.64613
8352,8510.155
5099,25522.94
650,6993.002669
4902,7306.550369
790,14693.34537
4196,11103.39097
7007,16880.12
4753,11233.39368
1380,4033.359023
1426,7200.749236
1549,14164.3881
2383,5987.780276
6855,3828.321
5397,10720.4
1661,9576.330372
1682,28123.33031
8786,26765.76
542,7993.383994
8697,9472.464
5623,13387.81
8824,5280.879
5582,22039.99
4731,10173.8331
2030,17176.18574
4292,5736.044127
5768,21046.8
4880,3845.446009
2769,8082.899698
2786,5061.693606
2540,16024.85875
3807,14235.55488
5006,10368.46
8405,17842.65
2554,5441.460017
5652,15369.28
5,12742.58991
8440,13541.9
6631,27789.0
589,9947.353687
7168,12005.05
7981,9271.996
3429,13945.15544
8460,14712.56
4016,8132.317243
6007,12266.69
7847,14081.81
94,19669.3924
7501,26360.59
5253,8570.818
2162,21076.28945
3897,12748.91223
630,7136.452351
7626,14106.34
8255,29611.39
7338,7710.55
3833,10757.74144
3418,22611.00168
2883,4028.401786
2744,9308.503965
4769,10935.66158
3671,27861.35972
2214,13473.59651
7130,5232.281
3879,6295.749386
6533,8722.537
5797,5290.502
4171,11170.05757
8684,24623.72
5442,7659.983
4706,12287.9075
2787,10808.88532
9648,12743.27
1208,10935.66158
2875,3777.109203
3346,10875.2912
8906,13801.47
9802,28632.32
3887,20795.20796
8378,16617.19
2811,18486.69302
6168,10963.27
6161,13548.39
5087,6773.918
9245,19672.52
3901,10150.39668
2532,13763.98006
7403,4409.098
2131,13383.79435
1322,14956.15246
3505,9590.012446
7216,8955.875
2188,6381.434123
1465,14669.35007
4972,8701.542306
9508,12991.78
603,8977.273749
5378,6554.739
1028,7388.631813
625,20801.79558
538,22585.65521
8787,15116.76
5717,8818.329
8748,7894.372
7487,6548.182
1504,7412.293519
8675,13094.15
638,7751.647563
2899,14716.58359
6573,26081.18
682,12462.25848
9055,17247.38
470,6435.308063
2528,10057.14573
6622,12906.06
8604,4857.909
6734,27564.37
1020,6042.618226
5250,24883.17
5701,8895.237
7835,14369.67
6124,27564.21
3592,13070.51957
6202,10736.99
668,6124.19196
4534,10005.70879
7928,13036.79
7099,4030.022
8347,10408.21
8201,5932.826
5604,13501.78
3171,29094.04256
593,19533.83914
8952,8710.725
5724,10560.27
1304,14409.94834
8279,13608.7
9416,9902.429
237,18835.75261
4648,6627.601782
2947,4088.313112
3321,15468.74144
5279,6195.894
1360,24974.7705
9221,19304.77
199,15686.2672
6349,17844.94
4365,9812.647434
1997,6469.545495
9273,5509.374
3847,10453.2664
3162,9746.869763
7483,26131.4
9714,11309.19
5790,10691.28
6694,25437.22
9640,14711.83
7708,14959.61
189,4075.029933
8727,13704.06
8251,26402.19
1942,4212.935702
2992,25842.3214
6610,5512.988
8051,10980.9
5706,5978.943
4872,21714.82567
9970,6667.627
1724,9279.41494
1628,7825.809738
3700,22309.99094
7172,8146.543
4333,6315.62213
4684,18972.97875
4405,11619.38576
4147,11461.00671
6501,12045.98
1145,10671.98601
5710,14037.61
7251,6534.289
886,19354.36583
4609,21590.9602
4034,4108.588524
4772,11532.54137
4681,28312.05778
30,13907.96764
9685,10157.91
9468,10323.6
2705,3480.174402
3540,7860.30893
1956,11796.20591
5599,5015.111
1210,14498.8496
3576,23078.15688
6548,6647.972
7819,15357.05
9226,23525.31
2831,9516.511256
1266,4521.833719
6640,4549.23
5432,12806.95
7841,8320.89
1074,13830.29207
6581,9090.38
1385,25263.32829
5963,11541.06
5213,16172.91
4979,14140.1448
5333,4723.906
4323,9760.702486
9172,6708.522
831,8495.50853
7782,12858.55
7663,12370.94
6800,8490.153
5544,20894.55
4627,12381.95561
2363,4036.63766
7243,14251.91
3039,14659.15968
3539,15028.10332
6534,13369.61
1527,10685.48487
2546,10727.26314
4851,11263.71511
194,12537.54207
7714,7293.277
6471,8137.249
1446,14553.96762
3089,7433.355133
6783,13243.68
8111,17314.73
7331,12450.36
1877,20441.96401
2329,13665.83473
8813,8805.749
1792,9483.222529
6974,26522.02
3954,4174.041687
1066,10795.1247
4418,8093.017092
656,14994.24327
9384,15400.77
3629,7378.230209
9263,25020.6
6563,20771.01
3436,6651.807262
8010,9565.55
6319,9520.564
2495,13774.09055
9057,7634.392
2893,7799.594758
2050,12972.0645
1454,11937.55425
3041,15837.64547
6597,8344.995
3949,21895.29619
5697,9995.65
7538,14666.7
8708,8160.309
8082,18442.25
7432,9869.059
7259,13740.66
8638,10620.66
9425,13791.41
880,7829.964579
8370,13590.11
8450,13286.86
3950,22187.12586
9641,8013.787
7796,4784.828
1481,4391.98555
1828,14061.84281
4620,6303.383522
1330,14716.07376
6519,26548.96
6922,11170.61
3706,6193.038309
692,12821.77356
8542,10031.3
7236,11851.01
7653,28221.82
980,3453.42219
3642,14637.09343
1660,16025.851
6693,21855.4
1992,8753.266213
7730,10372.64
3045,11560.77365
9294,15509.12
572,6154.976633
1773,14014.31046
8173,10049.87
3270,17827.08986
3773,9046.6998
7760,15829.54
528,8020.380487
2781,23608.88744
3433,5954.492709
6975,4494.895
278,10128.67336
5742,11697.95
1878,24840.41769
70,7529.036236
4960,7890.605979
4886,21777.15214
7275,5572.206
1530,16439.50712
9453,22816.11
5262,28448.5
6318,11731.21
8244,21886.12
8418,10330.15
9990,11365.37
8939,9910.839
6970,12703.06
7586,24662.03
6869,7709.351
8547,11881.94
8022,24369.27
8491,13316.3
7512,22761.17
2324,13526.41486
4401,6561.899514
4701,5188.275793
4069,12052.00494
2311,9126.004047
6074,8238.897
8064,12056.24
852,17791.6739
9232,14300.18
57,5912.173927
4350,8124.50302
5305,14194.16
2341,24881.5375
32,5119.87459
728,4304.019136
8407,7859.799
7436,13758.12
6939,10542.19
5925,12176.74
3513,13289.70006
9497,6928.755
2701,5055.349373
5901,7371.441
4340,14723.13026
7047,20849.26
7711,23278.59
8714,3455.947
2224,7474.356623
1071,3815.41516
4824,14282.12993
8559,8171.339
7784,7468.912
338,17268.09614
8012,11768.72
9254,7889.19
1599,26500.74167
8983,5728.187
5603,10669.42
8532,13199.89
4326,7348.19936
6115,8581.682
641,11003.31669
1768,22465.06838
3556,7826.664023
1940,8527.951223
2169,9315.1617
9377,9118.861
6857,14630.62
210,11270.39476
3679,24017.65864
3030,12140.22949
8167,6824.38
9355,11256.62
2260,8772.099048
231,19503.78125
5612,6910.169
6718,12868.6
1300,7798.25196
6876,6617.245
2345,6708.421692
4995,5372.961912
7793,8259.614
7268,26693.39
804,3304.545207
6741,8560.701
1310,5468.542826
4846,5854.53109
8425,27617.09
4120,6447.01218
4056,11888.38581
8959,6736.995
422,13900.77891
3699,11163.8398
7909,20709.84
1558,10879.99466
7286,10101.32
629,20586.69834
4421,14051.67079
5033,9736.158
5725,14724.35
1603,9014.673679
2081,7303.213749
664,12276.11022
3561,15227.0836
6954,12007.58
9965,8250.036
4149,23041.90234
123,18351.65862
5508,14502.3
9946,10008.5
1714,14030.13019
2615,6455.486573
5714,21898.53
6722,10087.95
8899,8035.873
4006,20034.33228
2940,15171.95867
1389,6323.172233
6941,11305.34
8857,19796.54
2458,20469.83016
443,4195.985306
203,16473.33668
430,29198.85776
9759,24156.18
989,14160.1902
1303,10539.178
80,4730.46339
4220,8809.961253
2029,12009.23409
4531,12396.49364
1901,12759.31566
4485,22558.30138
9618,5665.751
2471,27647.86971
5377,10074.26
1732,29118.72313
3726,9421.574641
382,13388.22901
1180,4323.758469
7564,13965.36
1156,11392.75771
838,25400.12038
5332,10241.18
7610,14246.63
1711,13030.83728
4815,24156.17704
3314,20068.15551
1133,10863.32986
9841,11222.88
6254,11532.78
7332,23625.6
617,6932.479263
5802,7502.589
6878,8085.351
6946,3653.928
2894,24127.50066
4090,8170.618073
3283,14424.04527
1088,16586.40735
7477,5739.139
8070,17605.48
7352,25027.16
8253,11650.17
8875,16479.09
8973,12159.08
6681,11277.84
2718,15311.92358
2765,7856.542669
3290,7495.07328
8713,3535.441
1717,27322.25366
3698,14191.82026
2841,21919.73487
5712,18679.8
7409,18854.44
1394,9196.877463
6315,18514.61
1343,6989.15443
5554,16235.36
9604,6272.354
4138,9193.403
8009,9054.013
2115,8145.663896
9863,9739.262
2921,14850.52545
8692,13429.41
1279,8833.4184
6762,9968.092
4952,25230.18382
111,13343.02157
4890,12454.18853
1606,3691.544563
9827,15640.49
9240,13405.4
9113,6868.981
779,19408.38868
2672,11001.57369
4122,16655.49286
2056,17092.0872
2303,23659.50979
8234,25722.69
7097,13342.67
842,7334.269446
4000,7321.59752
3366,5202.557292
6774,12404.65
3977,15821.51372
7437,11241.84
3195,9387.620856
9259,6712.224
9671,9499.692
73,7576.923508
3673,16934.02249
6845,4211.474
6667,18436.3
9310,9794.561
1470,15934.67063
7616,22040.35
6373,29626.42
3340,5868.387286
6999,25512.6
7934,15561.35
3057,6304.797046
3196,27441.07604
6812,12421.09
9260,14862.04
2335,12525.19373
7691,17258.91
1916,4525.234736
7573,27940.3
7775,14602.58
4202,7449.757846
3365,6600.096246
7660,22326.57
4819,19141.78828
1678,6989.393489
7276,10729.61
4518,6674.18426
46,15291.5477
8642,7768.395
2536,9684.546593
6602,6756.622
8148,6798.351
627,7993.319597
2392,12445.87769
1680,12432.15287
4409,8297.485022
7574,4668.916
4788,7595.822437
7392,7704.329
1192,7009.383463
750,12810.77452
5155,7027.037
5803,18377.4
5454,27980.21
3125,5398.348103
7373,6674.358
3716,8698.753369
7500,11728.95
3967,11916.17882
7218,20778.51
